YB,DIAM,MASS,L_BOL,LM,TEMP,LRATIO,T_BOL,SURF_DENS
6,1.035301063,2389.632608,126081.2001,52.76175075,27.6,205.7,52.92,0.59
7,0.16,91.3,3011.6,32.98576123,26.1,5.1,50.33,0.92
8,0.178953356,584.8008376,25225.25286,43.13477552,24.2,236.2,99.08,4.79
18,0.136835165,50.56216544,96.04683722,1.899579189,16.9,19.7,24.83,0.71
19,0.2976,846.91008,13722.15744,16.20261438,21.3,108.1,53.23,2.84
24,0.217106326,1310.717143,63956.96724,48.79539996,32.4,172,50.91,7.31
29,1.104099379,1321.129656,354989.4053,268.7014129,34.5,702.2,57.17,0.29
38,0.145454545,242.4888889,2559.888338,10.55672427,21.6,69,45.28,3.09
40,0.312337662,1106.006072,5131.729634,4.639874739,19,39.3,36.33,2.96
41,1.497110092,9812.675059,11119.81954,1.1332098,13.7,19.6,34.63,1.17
42,1.38630137,17727.79286,1127596.621,63.60614823,21.2,422.7,117.05,2.45
43,0.322974359,97.7130309,221.7074977,2.268965517,14,36.5,41.59,0.25
44,0.078,3.211,311.974,97.15789474,25.7,431.4,57.76,0.15
46,1.000008258,1736.738365,17644.96311,10.15982802,20.3,70.5,47.93,0.47
47,1.622845618,14916.13223,39628.66805,2.656765671,13.7,46.8,47.3,1.51
48,0.2968,313.82148,1772.81608,5.649122807,16.1,65.9,46.31,0.84
49,0.2345,371.73409,5448.43397,14.65680473,21.9,90.5,43.56,1.97
50,0.2238,91.82514,3390.57373,36.92424242,23.4,195.1,48.89,0.45
53,0.3047,455.77026,78.26358,0.171717172,10.2,7,29.1,1.4
54,0.470032573,2770.275334,90606.10203,32.70653314,25.9,152.7,47.79,3.32
55,0.22,36.3,738.1,20.33333333,19.6,150.9,56.14,0.19
56,0.160916031,60.50139269,1738.603053,28.73657904,22.6,161.9,56.45,0.63
57,0.592227603,79.35099637,1619.396189,20.40801329,18.8,164,77.11,0.06
58,0.1974,100.20024,3472.81308,34.65873016,21.3,219,54.92,0.77
60,0.166273585,285.4930002,589.8743659,2.066160521,15.8,26,38.29,2.66
61,0.294431555,222.0974866,851.4878581,3.83384734,15.5,48.3,46.1,0.67
63,0.179197324,208.9285399,8802.761593,42.13288235,25.7,192.5,53.23,1.75
64,1.140434783,3166.093468,707.5449065,0.223475685,10.8,7.6,25.22,0.65
65,0.2679,210.53979,1052.599545,4.999527856,16.8,52.7,47.44,0.78
67,0.1405,53.69348,453.23614,8.441176471,18,75,45.25,0.64
68,0.130634483,36.35174944,102.1993221,2.811400379,14.3,43.4,44.95,0.57
69,0.878774617,3302.025369,34740.1764,10.52086902,17.5,100.9,52.65,1.13
70,0.59347079,1648.098605,47934.81113,29.08491699,20.6,198.7,50.04,1.23
71,0.232669323,167.2771924,1748.560943,10.45307443,17.3,102.7,47.27,0.8
73,1.444011299,2968.574305,15293.29136,5.151729345,16.8,53.3,44.4,0.38
74,0.2628,118.51696,124.48544,1.050359712,12.6,22.7,46.6,0.45
75,1.062385939,6172.78113,276693.2458,44.82472972,25.9,200.1,57.56,1.46
78,0.31459144,371.1373314,353.1759073,0.951604372,12.1,23.3,42.01,1
80,0.639052914,104.0382782,1047.301823,10.06650476,18.4,84.7,43.49,0.07
82,0.2352,60.5052,100.26576,1.657142857,13.3,30.6,42.41,0.32
83,0.4464,42.89904,272.61648,6.35483871,16.2,72,47.17,0.05
84,0.245805369,209.8758828,1282.746702,6.111929986,17.5,58.8,44.79,0.91
85,0.7542,1406.24361,42866.72937,30.48314607,21.9,181.7,54.04,0.66
86,0.45466474,344.3431286,1373.948058,3.990055106,14.4,60.2,48.81,0.44
87,0.17396875,50.55365918,1938.728638,38.34991708,22.6,215.2,51.48,0.47
88,0.163311475,205.1516549,292.6387304,1.426450742,13.9,24.4,39.8,2.16
91,0.137405318,138.1163409,5183.653488,37.53106587,27.6,151.5,48.81,1.95
93,0.139437299,120.1697757,962.0675507,8.005902858,20,58.9,42.85,1.62
95,1.082348337,1250.141212,3417.012306,2.733301065,13.9,43.9,44.67,0.28
96,0.158376328,103.9397075,3872.4644,37.25683374,22.7,210.3,56.58,1.11
97,0.814539632,708.1716363,26241.48555,37.05526203,24.7,175,55.07,0.28
99,0.221969697,114.5266478,57.15383379,0.499043977,13.3,21.3,20.07,0.59
