YB,LM,TEMP,LRATIO,T_BOL,SURF_DENS
6,52.76175075,27.6,205.7,52.92,0.59
7,32.98576123,26.1,5.1,50.33,0.92
8,43.13477552,24.2,236.2,99.08,4.79
18,1.899579189,16.9,19.7,24.83,0.71
19,16.20261438,21.3,108.1,53.23,2.84
24,48.79539996,32.4,172,50.91,7.31
29,268.7014129,34.5,702.2,57.17,0.29
38,10.55672427,21.6,69,45.28,3.09
40,4.639874739,19,39.3,36.33,2.96
41,1.1332098,13.7,19.6,34.63,1.17
42,63.60614823,21.2,422.7,117.05,2.45
43,2.268965517,14,36.5,41.59,0.25
44,97.15789474,25.7,431.4,57.76,0.15
46,10.15982802,20.3,70.5,47.93,0.47
47,2.656765671,13.7,46.8,47.3,1.51
48,5.649122807,16.1,65.9,46.31,0.84
49,14.65680473,21.9,90.5,43.56,1.97
50,36.92424242,23.4,195.1,48.89,0.45
53,0.171717172,10.2,7,29.1,1.4
54,32.70653314,25.9,152.7,47.79,3.32
55,20.33333333,19.6,150.9,56.14,0.19
56,28.73657904,22.6,161.9,56.45,0.63
57,20.40801329,18.8,164,77.11,0.06
58,34.65873016,21.3,219,54.92,0.77
60,2.066160521,15.8,26,38.29,2.66
61,3.83384734,15.5,48.3,46.1,0.67
63,42.13288235,25.7,192.5,53.23,1.75
64,0.223475685,10.8,7.6,25.22,0.65
65,4.999527856,16.8,52.7,47.44,0.78
67,8.441176471,18,75,45.25,0.64
68,2.811400379,14.3,43.4,44.95,0.57
69,10.52086902,17.5,100.9,52.65,1.13
70,29.08491699,20.6,198.7,50.04,1.23
71,10.45307443,17.3,102.7,47.27,0.8
73,5.151729345,16.8,53.3,44.4,0.38
74,1.050359712,12.6,22.7,46.6,0.45
75,44.82472972,25.9,200.1,57.56,1.46
78,0.951604372,12.1,23.3,42.01,1
80,10.06650476,18.4,84.7,43.49,0.07
82,1.657142857,13.3,30.6,42.41,0.32
83,6.35483871,16.2,72,47.17,0.05
84,6.111929986,17.5,58.8,44.79,0.91
85,30.48314607,21.9,181.7,54.04,0.66
86,3.990055106,14.4,60.2,48.81,0.44
87,38.34991708,22.6,215.2,51.48,0.47
88,1.426450742,13.9,24.4,39.8,2.16
91,37.53106587,27.6,151.5,48.81,1.95
93,8.005902858,20,58.9,42.85,1.62
95,2.733301065,13.9,43.9,44.67,0.28
96,37.25683374,22.7,210.3,56.58,1.11
97,37.05526203,24.7,175,55.07,0.28
99,0.499043977,13.3,21.3,20.07,0.59
100,18.6022511,21.3,116.9,45.88,0.36
101,4.756541801,18,42.6,36.47,0.45
102,8.581081081,16.9,88.3,51.21,0.3
103,9.888297014,19.4,10921.3,40.46,0.09
104,26.7,24.5,123.2,43.6,0.04
106,6.432458698,17.7,59.3,44.08,0.23
107,23.73601962,25.2,110.7,59.74,1.22
112,1.948186528,14.8,27,34.36,0.19
113,4.773950382,19.3,5269.2,24.68,0.06
114,0.31824147,10.9,85.3,33.52,0.37
115,2.036184211,13.7,42.1,45.97,0.71
117,6.336349925,15.4,80.1,47.79,0.1
119,12.88513514,15.7,157.2,57.11,0.5
120,10.61904762,19.1,83.4,55.63,0.3
121,15.54950495,23.3,81,37.21,0.05
122,8.515830842,17.6,80.3,45.77,0.75
123,8.24137931,17.1,82.9,48.61,0.58
125,32.5813086,22.4,186.3,54.9,0.42
126,15.70114943,18.6,127.6,57.62,0.19
127,15.52152703,19.9,114,50.39,1.06
128,3.251571153,16.1,36.9,37.41,0.26
130,1.319366853,12.1,31.4,44.96,0.38
131,18.38690283,20.4,123.9,53.89,0.22
132,96.45700116,23.5,500.1,92.97,0.43
133,26.76930291,21.8,159.5,47.32,0.1
134,5.741935484,17,58.6,42.26,0.06
135,14.87082601,19.1,115,46.59,0.16
136,10.27379873,19.3,78.4,43.49,0.16
137,15.58333333,18.7,127.2,48.46,0.07
138,36.87227414,26.7,154.5,45.71,1.16
139,28.28828181,25.8,131.9,45.26,2.96
141,2.459268133,14.6,37.6,55.09,2.46
143,14.92857143,19.7,109,46.64,0.07
144,4.263888889,15.6,52.6,52.04,0.26
145,72.08908215,11,3064.4,59.29,13.65
147,3.414586071,15.6,43,42.21,1.46
149,16.5262157,20,115.9,47.86,0.21
150,9.368421053,20.1,65.6,38.46,0.06
151,1.896152409,13.9,31.7,48.64,0.73
152,4.829028358,13.6,84.8,50.13,0.37
153,18.92184516,20.7,126.5,55.08,0.59
154,14.50715259,20,443.3,51.71,1.62
